OBJECTID,unitID,descriptn,instCode,codeRef,unitOwner,cSteward,effDate,instName,Shape_Leng,Shape__Area,Shape__Length
159,DLCD,Comp Plan- See DLCD File,9243,GNIS,9243,DLCD,20110000,Roseburg,238998.921503,449073057.261047,238998.921503121
160,DLCD,Comp Plan- See DLCD File,34616,GNIS,34616,DLCD,19800000,Rufus,27530.7334473,37555817.4172363,27530.7334472733
161,DLCD,Comp Plan- See DLCD File, ,GNIS, ,DLCD,20140000,Salem/Keizer,325431.707749,1894312158.61871,325431.707749239
162,DLCD,Comp Plan- See DLCD File,2977,GNIS,2977,DLCD,20200000,Sandy,83179.1139928,135489328.53064,83179.1139927986
163,DLCD,Comp Plan- See DLCD File,4646,GNIS,4646,DLCD,20150000,Scappoose,85005.0310406,123013279.656006,85005.031040644
164,DLCD,Comp Plan- See DLCD File,28209,GNIS,28209,DLCD,20020000,Scio,20581.701695,14788708.710022,20581.7016950056
165,DLCD,Comp Plan- See DLCD File,32003,GNIS,32003,DLCD,19800000,Scotts Mills,14959.620504,10395255.7490845,14959.6205040212
166,DLCD,Comp Plan- See DLCD File,4110,GNIS,4110,DLCD,20170000,Seaside,77996.0384155,102895713.51355,77996.0384154562
167,DLCD,Comp Plan- See DLCD File,11835,GNIS,11835,DLCD,19800000,Seneca,24720.1705971,24213053.7305908,24720.1705970818
168,DLCD,Comp Plan- See DLCD File,16941,GNIS,16941,DLCD,20070000,Shady Cove,54736.0054217,74813495.5918732,54736.0054216649
169,DLCD,Comp Plan- See DLCD File,39290,GNIS,39290,DLCD,19800000,Shaniko,15768.8970709,13836669.8376465,15768.8970708583
170,DLCD,Comp Plan- See DLCD File,41506,GNIS,41506,DLCD,19980000,Sheridan,61175.2195236,68538215.9767456,61175.2195236184
171,DLCD,Comp Plan- See DLCD File,27136,GNIS,27136,DLCD,19980000,Siletz,22912.8561422,18375230.8439331,22912.8561422103
172,DLCD,Comp Plan- See DLCD File,32006,GNIS,32006,DLCD,20240000,Silverton,77751.7459549,117797750.593018,77751.7459548769
173,DLCD,Comp Plan- See DLCD File,8096,GNIS,8096,DLCD,20130000,Sisters,57947.837313,53793846.1209717,57947.8373130113
174,DLCD,Comp Plan- See DLCD File,28213,GNIS,28213,DLCD,19800000,Sodaville,13788.379046,8493245.60754395,13788.3790460414
175,DLCD,Comp Plan- See DLCD File,1127456,GNIS,1127456,DLCD,20180000,Springfield,201808.362049,671423495.38504,201808.362049433
176,DLCD,Comp Plan- See DLCD File,4645,GNIS,4645,DLCD,19800000,St. Helens,90540.4781878,227456205.153625,90540.4781877793
177,DLCD,Comp Plan- See DLCD File,32000,GNIS,32000,DLCD,19800000,St. Paul,16217.1427797,6968399.57757568,16217.1427797481
178,DLCD,Comp Plan- See DLCD File,35914,GNIS,35914,DLCD,20190000,Stanfield,59219.4686682,78532061.3112793,59219.4686682416
179,DLCD,Comp Plan- See DLCD File,32008,GNIS,32008,DLCD,19940000,Stayton,66928.9311347,134578797.258728,66928.931134674
180,DLCD,Comp Plan- See DLCD File,32010,GNIS,32010,DLCD,20230000,Sublimity,25639.0741551,27848444.9152222,25639.0741551447
181,DLCD,Comp Plan- See DLCD File,36862,GNIS,36862,DLCD,19800000,Summerville,11730.4282065,7353727.74609375,11730.4282065213
182,DLCD,Comp Plan- See DLCD File,572,GNIS,572,DLCD,19800000,Sumpter,31583.1011706,60797109.5445557,31583.1011705705
183,DLCD,Comp Plan- See DLCD File,9253,GNIS,9253,DLCD,20180000,Sutherlin,122891.87209,188933373.187378,122891.872090045
184,DLCD,Comp Plan- See DLCD File,28216,GNIS,28216,DLCD,19940000,Sweet Home,86270.3201774,162055904.233704,86270.3201774403
185,DLCD,Comp Plan- See DLCD File,16950,GNIS,16950,DLCD,20230000,Talent,43942.1632763,50855654.8160782,43942.1632763404
186,DLCD,Comp Plan- See DLCD File,39294,GNIS,39294,DLCD,19800000,The Dalles,102302.92302,212089170.068481,102302.92302043
187,DLCD,Comp Plan- See DLCD File,35054,GNIS,35054,DLCD,19930000,Tillamook,72647.0727947,66131047.8844604,72647.0727947409
188,DLCD,Comp Plan- See DLCD File,27142,GNIS,27142,DLCD,20010000,Toledo,67703.9143281,114553884.294678,67703.9143280988
189,DLCD,Comp Plan- See DLCD File,32016,GNIS,32016,DLCD,20220000,Turner,37347.9121826,42833482.9277954,37347.9121825768
190,DLCD,Comp Plan- See DLCD File,35920,GNIS,35920,DLCD,20050000,Ukiah,14595.8025738,8458045.35498047,14595.8025737925
191,DLCD,Comp Plan- See DLCD File,36865,GNIS,36865,DLCD,19800000,Union,37996.3818701,47404617.4345703,37996.3818700682
192,DLCD,Comp Plan- See DLCD File,574,GNIS,574,DLCD,19970000,Unity,28440.2479475,18016950.5462646,28440.247947496
193,DLCD,Comp Plan- See DLCD File,29532,GNIS,29532,DLCD,20140000,Vale,77054.8526096,78039140.1633301,77054.852609605
194,DLCD,Comp Plan- See DLCD File,24945,GNIS,24945,DLCD,20060000,Veneta,43430.0526802,71356793.2678528,43430.0526802403
195,DLCD,Comp Plan- See DLCD File,4651,GNIS,4651,DLCD,20090000,Vernonia,52853.8773082,49201635.5992432,52853.8773081712
196,DLCD,Comp Plan- See DLCD File,27145,GNIS,27145,DLCD,19800000,Waldport,64290.7407942,79865786.6078186,64290.740794248
197,DLCD,Comp Plan- See DLCD File,37940,GNIS,37940,DLCD,19800000,Wallowa,25638.8670358,25509884.3615723,25638.8670358456
198,DLCD,Comp Plan- See DLCD File,4123,GNIS,4123,DLCD,19970000,Warrenton,121716.948129,497871140.671326,121716.94812879
199,DLCD,Comp Plan- See DLCD File,34619,GNIS,34619,DLCD,19990000,Wasco,22344.8538057,28019015.2106934,22344.8538057482
200,DLCD,Comp Plan- See DLCD File,28220,GNIS,28220,DLCD,19800000,Waterloo,9574.07412668,4075852.71270752,9574.07412667925
201,DLCD,Comp Plan- See DLCD File,24953,GNIS,24953,DLCD,19800000,Westfir,25009.9089445,9473100.44848633,25009.9089445288
202,DLCD,Comp Plan- See DLCD File,35924,GNIS,35924,DLCD,19800000,Weston,22240.1248171,19276892.5600586,22240.1248171236
203,DLCD,Comp Plan- See DLCD File,35060,GNIS,35060,DLCD,19800000,Wheeler,27435.9006914,16924251.1101685,27435.9006913811
204,DLCD,Comp Plan- See DLCD File,41518,GNIS,41518,DLCD,19800000,Willamina,28341.5864806,31753243.4500122,28341.5864806456
205,DLCD,Comp Plan- See DLCD File,9268,GNIS,9268,DLCD,20070000,Winston,82600.334132,132633440.512482,82600.3341320379
206,DLCD,Comp Plan- See DLCD File,32024,GNIS,32024,DLCD,20150000,Woodburn,80649.4670694,204185482.393616,80649.4670694459
